MJD,Temperature [mdC]
57933.8953,44199
57933.89531,44199
57933.89533,44199
57933.89534,44203
57933.89535,44199
57933.89536,44203
57933.89537,44199
57933.89538,44203
57933.8954,44203
57933.89541,44203
57933.89542,44203
57933.89543,44203
57933.89544,44203
57933.89545,44207
57933.89547,44203
57933.89548,44207
57933.89549,44207
57933.8955,44203
57933.89551,44203
57933.89552,44203
57933.89553,44203
57933.89555,44203
57933.89556,44203
57933.89557,44203
57933.89558,44203
57933.89559,44203
57933.8956,44203
57933.89562,44203
57933.89563,44203
57933.89564,44203
57933.89565,44203
57933.89566,44203
57933.89567,44203
57933.89569,44203
57933.8957,44199
57933.89571,44199
57933.89572,44199
57933.89573,44199
57933.89574,44199
57933.89575,44199
57933.89577,44199
57933.89578,44199
57933.89579,44199
57933.8958,44199
57933.89581,44199
57933.89582,44199
57933.89584,44199
57933.89585,44199
57933.89586,44199
57933.89587,44199
57933.89588,44199
57933.89589,44199
57933.89591,44199
57933.89592,44199
57933.89593,44199
57933.89594,44199
57933.89595,44195
57933.89596,44199
57933.89597,44199
57933.89599,44199
57933.896,44199
57933.89601,44199
57933.89602,44195
57933.89603,44199
57933.89604,44199
57933.89606,44195
57933.89607,44195
57933.89608,44195
57933.89609,44195
57933.8961,44195
57933.89611,44195
57933.89612,44195
57933.89614,44195
57933.89615,44195
57933.89616,44195
57933.89617,44195
57933.89618,44195
57933.89619,44195
57933.89621,44195
57933.89622,44199
57933.89623,44195
57933.89624,44195
57933.89625,44199
57933.89626,44199
57933.89628,44195
57933.89629,44199
57933.8963,44199
57933.89631,44199
57933.89632,44199
57933.89633,44199
57933.89634,44199
57933.89636,44203
57933.89637,44203
57933.89638,44203
57933.89639,44203
57933.8964,44203
57933.89641,44203
57933.89643,44203
57933.89644,44203
57933.89645,44203
57933.89646,44203
57933.89647,44203
57933.89648,44203
57933.8965,44207
57933.89651,44207
57933.89652,44203
57933.89653,44207
57933.89654,44207
57933.89655,44207
57933.89656,44207
57933.89658,44207
57933.89659,44207
57933.8966,44207
57933.89661,44207
57933.89662,44207
57933.89663,44207
57933.89665,44207
57933.89666,44207
57933.89667,44207
57933.89668,44207
57933.89669,44207
57933.8967,44207
57933.89672,44207
57933.89673,44207
57933.89674,44207
57933.89675,44207
57933.89676,44207
57933.89677,44207
57933.89678,44207
57933.8968,44207
57933.89681,44207
57933.89682,44207
57933.89683,44207
57933.89684,44207
57933.89685,44207
57933.89687,44203
57933.89688,44203
57933.89689,44203
57933.8969,44203
57933.89691,44203
57933.89692,44199
57933.89694,44203
57933.89695,44199
57933.89696,44199
57933.89697,44199
57933.89698,44199
57933.89699,44199
57933.897,44199
57933.89702,44199
57933.89703,44199
57933.89704,44199
57933.89705,44199
57933.89706,44199
57933.89707,44199
57933.89709,44199
57933.8971,44199
57933.89711,44199
57933.89712,44203
57933.89713,44203
57933.89714,44203
57933.89716,44203
57933.89717,44203
57933.89718,44203
57933.89719,44203
57933.8972,44203
57933.89721,44203
57933.89722,44203
57933.89724,44203
57933.89725,44203
57933.89726,44203
57933.89727,44203
57933.89728,44203
57933.89729,44203
57933.89731,44203
57933.89732,44203
57933.89733,44203
57933.89734,44199
57933.89735,44203
57933.89736,44199
57933.89737,44199
57933.89739,44199
57933.8974,44203
57933.89741,44199
57933.89742,44203
57933.89743,44203
57933.89744,44199
57933.89746,44203
57933.89747,44203
57933.89748,44203
57933.89749,44203
57933.8975,44203
57933.89751,44203
57933.89753,44203
57933.89754,44203
57933.89755,44207
57933.89756,44207
57933.89757,44207
57933.89758,44207
57933.89759,44207
57933.89761,44207
57933.89762,44207
57933.89763,44207
57933.89764,44207
57933.89765,44207
57933.89766,44207
57933.89768,44207
57933.89769,44207
57933.8977,44207
57933.89771,44207
57933.89772,44207
57933.89773,44210
57933.89775,44210
57933.89776,44207
57933.89777,44207
57933.89778,44207
57933.89779,44207
57933.8978,44207
57933.89781,44207
57933.89783,44207
57933.89784,44207
57933.89785,44207
57933.89786,44210
57933.89787,44207
57933.89788,44207
57933.8979,44210
57933.89791,44210
57933.89792,44210
57933.89793,44210
57933.89794,44210
57933.89795,44210
57933.89797,44207
57933.89798,44207
57933.89799,44207
57933.898,44207
57933.89801,44207
57933.89802,44207
57933.89803,44207
57933.89805,44207
57933.89806,44207
57933.89807,44207
57933.89808,44207
57933.89809,44207
57933.8981,44207
57933.89812,44207
57933.89813,44207
57933.89814,44210
57933.89815,44207
57933.89816,44207
57933.89817,44207
57933.89819,44207
57933.8982,44207
57933.89821,44207
57933.89822,44207
57933.89823,44207
57933.89824,44210
57933.89825,44210
57933.89827,44207
57933.89828,44210
57933.89829,44210
57933.8983,44210
57933.89831,44210
57933.89832,44210
57933.89834,44210
57933.89835,44210
57933.89836,44210
57933.89837,44210
57933.89838,44210
57933.89839,44210
57933.89841,44210
57933.89842,44210
57933.89843,44210
57933.89844,44210
57933.89845,44210
57933.89846,44214
57933.89847,44214
57933.89849,44214
57933.8985,44214
57933.89851,44210
57933.89852,44214
57933.89853,44214
57933.89854,44214
57933.89856,44214
57933.89857,44210
57933.89858,44214
57933.89859,44214
57933.8986,44214
57933.89861,44214
57933.89862,44214
57933.89864,44214
57933.89865,44214
57933.89866,44214
57933.89867,44214
57933.89868,44214
57933.89869,44214
57933.89871,44214
57933.89872,44214
57933.89873,44214
57933.89874,44214
57933.89875,44214
57933.89876,44210
57933.89878,44214
57933.89879,44214
57933.8988,44214
57933.89881,44214
57933.89882,44214
57933.89883,44214
57933.89884,44214
57933.89886,44214
57933.89887,44218
57933.89888,44214
57933.89889,44214
57933.8989,44214
57933.89891,44218
57933.89893,44218
57933.89894,44218
57933.89895,44222
57933.89896,44218
57933.89897,44218
57933.89898,44222
57933.899,44222
57933.89901,44222
57933.89902,44222
57933.89903,44222
57933.89904,44222
57933.89905,44226
57933.89906,44222
57933.89908,44222
57933.89909,44222
57933.8991,44222
57933.89911,44222
57933.89912,44226
57933.89913,44222
57933.89915,44222
57933.89916,44222
57933.89917,44222
57933.89918,44222
57933.89919,44222
57933.8992,44226
57933.89922,44226
57933.89923,44226
57933.89924,44226
57933.89925,44222
57933.89926,44226
57933.89927,44226
57933.89928,44222
57933.8993,44226
57933.89931,44226
57933.89932,44226
57933.89933,44226
57933.89934,44226
57933.89935,44226
57933.89937,44230
57933.89938,44226
57933.89939,44230
57933.8994,44230
57933.89941,44230
57933.89942,44230
57933.89944,44230
57933.89945,44230
57933.89946,44230
57933.89947,44230
57933.89948,44230
57933.89949,44230
57933.8995,44230
57933.89952,44230
57933.89953,44230
57933.89954,44230
57933.89955,44230
57933.89956,44230
57933.89957,44230
57933.89959,44230
57933.8996,44230
57933.89961,44230
57933.89962,44230
57933.89963,44230
57933.89964,44230
57933.89966,44230
57933.89967,44230
57933.89968,44226
57933.89969,44230
57933.8997,44230
57933.89971,44230
57933.89972,44230
57933.89974,44230
57933.89975,44230
57933.89976,44226
57933.89977,44230
57933.89978,44226
57933.89979,44226
57933.89981,44226
57933.89982,44226
57933.89983,44226
57933.89984,44222
57933.89985,44226
57933.89986,44226
57933.89987,44222
57933.89989,44222
57933.8999,44222
57933.89991,44222
57933.89992,44222
57933.89993,44222
57933.89994,44222
57933.89996,44222
57933.89997,44222
57933.89998,44222
57933.89999,44222
57933.9,44222
57933.90001,44222
57933.90003,44222
57933.90004,44222
57933.90005,44222
57933.90006,44222
57933.90007,44222
57933.90008,44222
57933.90009,44222
57933.90011,44226
57933.90012,44226
57933.90013,44222
57933.90014,44222
57933.90015,44222
57933.90016,44222
57933.90018,44222
57933.90019,44222
57933.9002,44226
57933.90021,44226
57933.90022,44226
57933.90023,44226
57933.90025,44226
57933.90026,44226
57933.90027,44226
57933.90028,44226
57933.90029,44226
57933.9003,44226
57933.90031,44226
57933.90033,44226
57933.90034,44226
57933.90035,44226
57933.90036,44222
57933.90037,44226
57933.90038,44226
57933.9004,44226
57933.90041,44226
