Time(s),S21(MAG),S21(DEG)
3352.32,1.0031674,-0.94665635
3360.96,1.005386,-0.72526735
3369.6,1.0073446,-0.70418143
3378.24,1.0047209,-0.70272917
3386.88,1.0067542,-0.8708058
3395.52,1.0064778,-0.77290022
3404.16,1.0057899,-0.77683753
3412.8,1.0076069,-0.86089259
3421.44,1.0044813,-0.87595296
3430.08,1.0025984,-0.9634344
3438.72,1.0054672,-1.0719213
3447.36,1.0008708,-1.0021436
3456,1.0039605,-1.0801182
3464.64,1.0026624,-1.0889159
3473.28,1.0022014,-0.90976155
3481.92,1.003152,-0.98141354
3490.56,1.0016899,-1.0970201
3499.2,1.002992,-1.0921593
3507.84,1.0016987,-1.0318544
3516.48,1.0018811,-1.196144
3525.12,1.0030277,-1.0845689
3533.76,1.0027622,-1.0845147
3542.4,1.0030254,-0.76485533
3551.04,1.0048523,-0.81252563
3559.68,1.0047634,-0.9041093
3568.32,1.0061781,-0.84784836
3576.96,1.0063617,-0.8535043
3585.6,1.0039093,-0.71406603
3594.24,1.0017151,-0.99238682
3602.88,1.0015754,-0.94133604
3611.52,1.004505,-0.89996666
3620.16,1.0008323,-0.91702837
3628.8,1.0017909,-0.93104708
3637.44,1.0027472,-0.88527894
3646.08,1.0058864,-0.60226738
3654.72,1.0037729,-0.6155901
3663.36,1.0080131,-0.68385512
3672,1.0053393,-0.74833119
3680.64,1.0070022,-0.76036769
3689.28,1.0074706,-0.66541135
3697.92,1.00673,-0.76493025
3706.56,1.0058475,-0.64712149
3715.2,1.0034057,-0.78077412
3723.84,1.0035031,-0.72146982
3732.48,1.0030708,-0.72068155
3741.12,1.0023236,-0.65677196
3749.76,1.004627,-0.72622126
3758.4,1.0034921,-0.76234198
3767.04,1.0044355,-0.80685502
3775.68,1.0032963,-0.70550513
3784.32,1.0033027,-0.73344314
3792.96,1.0034326,-0.77241009
3801.6,1.0023118,-0.68156463
3810.24,1.0030562,-0.61462104
3818.88,1.0024939,-0.7560975
3827.52,1.0052663,-0.50985736
3836.16,1.0067605,-0.5992642
3844.8,1.0065266,-0.62662154
3853.44,1.0064658,-0.58892375
3862.08,1.0066499,-0.46013635
3870.72,1.00683,-0.50718576
3879.36,1.0066283,-0.5196408
3888,1.0035818,-0.61172938
3896.64,1.0004542,-0.59731805
3905.28,1.003884,-0.57033271
3913.92,1.0035388,-0.54782027
3922.56,1.0045818,-0.37685594
3931.2,1.0026894,-0.54629362
3939.84,1.0044557,-0.29951748
